Timestep,L_ASIS,L_Ankle_Lat,L_Heel,L_Knee_Lat,L_PSIS,L_Shank_Front,L_Shank_Rear,L_Shank_Upper,L_Thigh_Front,L_Thigh_Rear,L_Thigh_Upper,L_Toe_Lat,L_Toe_Med,L_Toe_Tip,R_ASIS,R_Ankle_Lat,R_Heel,R_Knee_Lat,R_PSIS,R_Shank_Front,R_Shank_Rear,R_Shank_Upper,R_Thigh_Front,R_Thigh_Rear,R_Thigh_Upper,R_Toe_Lat,R_Toe_Med,R_Toe_Tip
675,0.00801003,0.0051078,0.00499978,0.00554469,0.00516159,0.00909599,0.00735128,0.0102913,0.0043517,0.0064781,0.00486835,0.00522326,0.00472357,0.00511347,0.00379409,0.00342129,0.00364045,0.00227668,0.00758362,0.00145067,0.00320809,0.00223141,0.00209983,0.00312561,0.00396728,0.00580962,0.0067795,0.00128171
676,0.00798898,0.00507217,0.0049495,0.00574012,0.00507976,0.00899675,0.00731549,0.0104256,0.0042632,0.00622908,0.00478847,0.00545227,0.0047882,0.00503209,0.00380254,0.00341033,0.00360659,0.00229086,0.00801771,0.00161531,0.00328182,0.00242309,0.00197172,0.00313513,0.00394418,0.00591149,0.00678463,0.00126636
677,0.00801104,0.00512237,0.00503606,0.00585948,0.00489917,0.00848641,0.00723776,0.0104911,0.00434056,0.00599635,0.00482195,0.00579548,0.00486055,0.00520443,0.00399792,0.00350367,0.00366916,0.00220523,0.00835901,0.00169874,0.00338578,0.00256905,0.00198253,0.00311369,0.00390682,0.00603627,0.00674523,0.00134163
678,0.00794907,0.00513855,0.0050827,0.00609987,0.00487777,0.00799663,0.00718697,0.0104749,0.00439293,0.00577695,0.00492423,0.0059389,0.0049857,0.00536015,0.00412301,0.00356949,0.00375388,0.00215663,0.00891543,0.00165509,0.00343689,0.00265437,0.00200019,0.00311179,0.00390549,0.00592767,0.00662139,0.00139615
679,0.00791003,0.00509844,0.00510039,0.00597044,0.00492489,0.00780824,0.00718899,0.0103212,0.0043092,0.00573357,0.00503823,0.00605965,0.00499684,0.00543343,0.00422884,0.00359541,0.00377837,0.00211692,0.0096332,0.00160768,0.00347398,0.00277545,0.00211322,0.00311661,0.00379252,0.005811,0.00649016,0.00134263
680,0.00797096,0.0050869,0.00510036,0.00578757,0.00493316,0.00772298,0.00719354,0.0101706,0.00420833,0.00581844,0.00508176,0.00612343,0.0049853,0.00542056,0.00415397,0.00354103,0.00375585,0.00206139,0.00965223,0.00164879,0.00348723,0.00275593,0.0021592,0.00306117,0.00383232,0.00589,0.00661961,0.00134342
681,0.0078926,0.00509483,0.00507149,0.00569614,0.0049526,0.00767055,0.00721185,0.0101296,0.00422105,0.00594342,0.00514943,0.00611831,0.00498568,0.00540338,0.00382931,0.00347017,0.00360555,0.00198671,0.00813399,0.00170718,0.0034058,0.00267423,0.00205928,0.00297616,0.00375037,0.00592509,0.00654693,0.00136866
682,0.00766039,0.0050227,0.00496048,0.00577011,0.00503193,0.00764815,0.0072399,0.0102918,0.00432286,0.00604524,0.0052503,0.00606934,0.00499826,0.00541214,0.00336987,0.00340016,0.00339167,0.00193831,0.00618709,0.00172995,0.00326216,0.00259266,0.00202614,0.00290153,0.00361417,0.00563194,0.00641361,0.00121653
683,0.00754559,0.00489123,0.00485823,0.00599925,0.00506665,0.00758272,0.00722623,0.0104418,0.00453056,0.00602013,0.00544995,0.00608338,0.00498781,0.0053987,0.00308329,0.00343299,0.00329891,0.00188385,0.00450913,0.00172007,0.0031721,0.00250224,0.00211636,0.00283679,0.0036241,0.00558491,0.00655331,0.00122658
684,0.00735896,0.0049023,0.00467784,0.00602632,0.00523761,0.00754522,0.00716222,0.0105025,0.00471641,0.00584684,0.00566428,0.00609113,0.00500182,0.00537454,0.00279127,0.00336701,0.00326062,0.0018089,0.00351828,0.00167311,0.0030818,0.00240897,0.00228194,0.00279283,0.00361478,0.00536843,0.00703551,0.00134184
